SDSS,petroR90_g,b_a,TT,Bar,RA,DE,hubble,ellip
J08285215+42311884,16.21,0.883,1,0,127.21729,42.5219,Sa,-99
J08303271+42592819,12.52,0.621,5,0,127.63629,42.991164,Sc,-99
J09121458+49454077,18.89,0.503,3,4,138.06075,49.761325,SBb,-99
J09130221+49382231,36.69,0.668,4,0,138.25921,49.639531,Sb,-99
J09345771+52215610,17.46,0.693,3,4,143.74046,52.365583,SBb,-99
J07495089+33574423,43.25,0.154,4,0,117.46204,33.962286,Sb,-99
J08000594+36442602,19.69,0.384,4,0,120.02475,36.740561,Sb,-99
J08030508+37254106,7.96,0.404,2,0,120.77117,37.428072,Sa,-99
J08082608+38535152,15.17,0.338,2,0,122.10867,38.897644,Sa,-99
J08083377+38545339,8.32,0.738,-2,0,122.14071,38.914831,S0,-99
J08085613+38530917,6.74,0.284,1,0,122.23387,38.885881,Sa,-99
J08091974+38583975,15.19,0.862,-2,0,122.33225,38.977708,S0,-99
J08092035+39080254,8.23,0.927,4,0,122.33479,39.134039,Sb,-99
J08215274+41514489,6.27,0.724,-3,0,125.46975,41.862469,S0,-99
J08215025+41523460,7.33,0.709,5,4,125.45937,41.876278,SBc,-99
J08235191+42131951,7.72,0.522,1,4,125.96629,42.222086,SBa,-99
J08235075+42075952,9.49,0.612,-3,0,125.96146,42.1332,S0,-99
J08250935+42180105,34.87,0.293,6,8,126.28896,42.300292,SBc,-99
J08323347+43584515,46.4,0.908,3,4,128.13946,43.979208,SBb,-99
J08351689+44233511,14.64,0.805,-5,0,128.82037,44.393086,E2,2
J08351637+44295357,8.53,0.81,4,8,128.81821,44.498214,SBb,-99
J08390927+45074775,47.42,0.839,3,8,129.78862,45.129931,SBb,-99
J08480719+46344756,8.58,0.967,-3,0,132.02996,46.579878,S0,-99
J09073594+49382157,6.61,0.44,1,64,136.89975,49.639325,SBa,-99
J09075381+49365390,5.7,0.734,0,0,136.97421,49.614972,S0,-99
J09074300+49330818,8.32,0.609,-3,0,136.92917,49.552272,S0,-99
J09084455+49452829,7.28,0.553,2,4,137.18562,49.757858,SBa,-99
J09090156+49453663,27.88,0.921,5,8,137.2565,49.760175,SBc,-99
J09101005+50025066,9.61,0.751,0,0,137.54187,50.047406,S0,-99
J09111404+50074736,14.46,0.698,3,0,137.8085,50.129822,Sb,-99
J09225292+51324403,11.79,0.794,0,0,140.7205,51.545564,S0,-99
J09364155+53062785,11.8,0.655,-5,0,144.17312,53.107736,E3,3
J07440333+33043857,8.84,0.637,3,4,116.01387,33.077381,SBb,-99
J07482110+34200690,40.97,0.198,4,0,117.08792,34.33525,Sb,-99
J08004766+37434340,11.06,0.402,5,0,120.19858,37.728722,Sc,-99
J08062675+38562652,14.16,0.214,5,0,121.61146,38.9407,Sc,-99
J08072482+39114009,53.64,0.891,5,0,121.85342,39.194469,Sc,-99
J08085310+39351921,7.06,0.753,1,0,122.22125,39.588669,Sa,-99
J08181282+41310282,11.79,0.484,1,0,124.55342,41.51745,Sa,-99
J08335371+44525578,0.56,0.554,3,0,128.47379,44.882161,Sb,-99
J09013120+49193175,18.8,0.826,2,0,135.38,49.325486,Sa,-99
J09012615+49211834,16.88,0.613,5,0,135.35896,49.355094,Sc,-99
J09093293+50165493,12.99,0.369,5,0,137.38721,50.281925,Sc,-99
J09101187+50240499,12.2,0.772,0,0,137.54946,50.401386,S0,-99
J09095452+50250597,12.73,0.722,-2,0,137.47717,50.418325,S0,-99
J09103215+50260001,31.2,0.271,1,16,137.63396,50.433336,SBa,-99
J09105742+50333212,11.01,0.603,0,0,137.73925,50.558922,S0,-99
J09131928+50442211,10.4,0.498,4,0,138.33033,50.739475,Sb,-99
J09135194+50503385,7.54,0.753,0,0,138.46642,50.842736,S0,-99
J09203057+51403376,13.58,0.92,2,4,140.12737,51.676044,SBa,-99
J09464543+54253720,17.76,0.904,-5,0,146.68929,54.427,E1,1
J09472175+54282616,17.78,0.881,-5,0,146.84062,54.473933,E1,1
J09131231+51165358,11.04,0.865,-2,0,138.30129,51.28155,S0,-99
J09455216+54543212,13.13,0.851,0,0,146.46733,54.908922,S0,-99
J10425615-01041044,15.99,0.473,5,0,160.73396,-1.069567,Sc,-99
J10513613-01051635,10.2,0.956,-2,0,162.90054,-1.087875,S0,-99
J10513840-01073421,13.63,0.266,5,0,162.91,-1.126169,Sc,-99
J10083199-00400066,57.95,0.535,5,72,152.13329,-0.66685,SBc,-99
J10105846-00481392,25.47,0.805,2,0,152.74358,-0.803867,Sa,-99
J10143955-00495128,43.85,0.809,4,72,153.66479,-0.830911,SBb,-99
J10174984-00494549,13.52,0.464,3,0,154.45767,-0.829303,Sb,-99
J10194426-00381787,24.09,0.849,-5,0,154.93442,-0.638297,E2,2
J10492113-00400501,32.47,0.851,-5,0,162.33804,-0.668058,E1,1
J10503678-00495215,7.24,0.701,1,0,162.65325,-0.831153,Sa,-99
J10532102-00411182,16.32,0.618,4,0,163.33758,-0.686617,Sb,-99
J10580984-00462889,20.06,0.323,5,0,164.541,-0.774692,Sc,-99
J09563861-00212887,22.02,0.754,-5,0,149.16087,-0.358019,E2,2
J09592619-00151416,33.77,0.718,3,0,149.85912,-0.253933,Sb,-99
J10084782-00161134,9.58,0.804,-2,0,152.19925,-0.269817,S0,-99
J10093045-00200198,13.34,0.888,0,8,152.37687,-0.333883,S0,-99
J10093256-00141459,13.65,0.747,4,8,152.38567,-0.237386,SBb,-99
J10144589-00202168,7.56,0.718,-3,0,153.69121,-0.339356,S0,-99
J10155267-00241246,15.22,0.741,-5,0,153.96946,-0.403461,E3,3
J10321732-00194556,12.03,0.583,1,0,158.07217,-0.329322,Sa,-99
J10391179-00243410,36.09,0.604,4,4,159.79912,-0.409472,SBb,-99
J10393451-00151086,8.38,0.497,7,72,159.89379,-0.253017,SBc,-99
J10424277-00205385,14.03,0.369,6,0,160.67821,-0.348292,Sc,-99
J10542224-00215388,13.69,0.254,4,0,163.59267,-0.364967,Sb,-99
J09565140+00123164,13.77,0.893,-3,0,149.21417,0.208789,S0,-99
J09590712+00003831,11.44,0.369,3,0,149.77967,0.010642,Sb,-99
J10030784+00024253,11.02,0.65,-5,0,150.78267,0.045147,E4,4
J10180667+00055972,12.33,0.599,1,0,154.52779,0.099922,Sa,-99
J10203941+00000820,16.22,0.974,2,0,155.16421,0.002278,Sa,-99
J10360576+00060679,17.5,0.856,-5,0,159.024,0.101886,E1,1
J10461487+00030092,8.78,0.854,6,0,161.56196,0.050256,Sc,-99
J09533042+00265504,10.91,0.872,-5,0,148.37675,0.448622,E1,1
J10002034+00302147,11.77,0.522,1,0,150.08475,0.505964,Sa,-99
J10003169+00325623,12.8,0.882,-3,0,150.13204,0.548953,S0,-99
J10030620+00271473,12.88,0.948,-5,0,150.77583,0.454092,E1,1
J10042710+00312567,18.82,0.864,-5,0,151.11292,0.523797,E1,1
J10051562+00363715,17.45,0.717,-5,0,151.31508,0.610319,E3,3
J10052408+00323789,19.86,0.359,3,4,151.35033,0.543858,SBb,-99
J10111786+00263268,75.21,0.386,5,0,152.82442,0.442411,Sc,-99
J10135259+00330334,69.04,0.756,5,0,153.46912,0.550928,Sc,-99
J10153759+00313106,5.33,0.911,-2,0,153.90662,0.525294,S0,-99
J10310520+00322687,42.62,0.786,5,0,157.77167,0.540797,Sc,-99
J10313516+00283129,58.02,0.653,5,8,157.8965,0.475358,SBc,-99
J10545767+00270865,12.57,0.785,-2,0,163.74029,0.452403,S0,-99
J10563105+00333205,9.76,0.801,4,0,164.12937,0.558903,Sb,-99
J09523308+00590280,10.86,0.697,1,4,148.13783,0.984111,SBa,-99
J10264347+01002211,25.57,0.237,5,0,156.68112,1.006142,Sc,-99
J10270814+00575623,58.02,0.962,2,2,156.78392,0.965619,SBa,-99
J10293709+00570406,13.65,0.534,3,0,157.40454,0.951128,Sb,-99
J10391849+00502348,12.11,0.903,-3,0,159.82704,0.839856,S0,-99
J10485260+00511135,10.4,0.501,0,0,162.21917,0.853153,S0,-99
J11043892+62445668,18.9,0.188,5,0,166.16217,62.749078,Sc,-99
J11183632+63165067,9.33,0.872,-2,0,169.65133,63.280742,S0,-99
J11253042+63264702,48.27,0.272,5,4,171.37675,63.446394,SBc,-99
J11265661+63253171,14.83,0.838,-3,0,171.73587,63.425475,S0,-99
J12073336+64010113,16.47,0.701,3,0,181.889,64.016981,Sb,-99
J12321701+63572212,11.79,0.855,-2,0,188.07087,63.956144,S0,-99
J12354202+63582567,12.79,0.444,4,0,188.92508,63.973797,Sb,-99
J12354443+63593127,12.77,0.752,5,0,188.93512,63.992019,Sc,-99
J11251903+63434553,80.35,0.814,5,0,171.32929,63.729314,Sc,-99
J12052326+64302989,7.77,0.845,1,0,181.34692,64.508303,Sa,-99
J11140828+63560498,11.64,0.949,0,0,168.5345,63.934717,S0,-99
J11245922+64185057,11.49,0.657,2,0,171.24675,64.314047,Sa,-99
J11255639+64195346,17.42,0.947,4,0,171.48496,64.331517,Sb,-99
J12265416+64521821,9.18,0.857,-2,0,186.72567,64.871725,S0,-99
J12155963+65130958,71.65,0.974,3,0,183.99846,65.219328,Sb,-99
J11120704+64521459,5.16,0.717,1,0,168.02933,64.870719,Sa,-99
J11182787+65015613,18.54,0.579,3,0,169.61612,65.032258,Sb,-99
J11294092+65130077,6.78,0.647,1,0,172.4205,65.216881,Sa,-99
J11542350+65352221,19.94,0.714,3,0,178.59792,65.589503,Sb,-99
J12124963+65485454,21.82,0.741,-5,0,183.20679,65.81515,E3,3
J12154099+65393406,14.9,0.643,2,0,183.92079,65.659461,Sa,-99
J11071324+65060697,15.67,0.548,0,4,166.80517,65.101936,S0,-99
J11135627+65103953,27.17,0.165,5,0,168.48446,65.177647,Sc,-99
J12301710+66082544,25.81,0.832,4,0,187.57125,66.1404,Sb,-99
J12445674+66052043,10.91,0.762,-2,0,191.23642,66.089008,S0,-99
J12431496+04050202,7.62,0.78,0,0,190.81233,4.083894,S0,-99
J13030592+03593075,64.67,0.647,6,8,195.77467,3.991875,SBc,-99
J13044699+03541782,13.16,0.245,1,16,196.19579,3.90495,SBa,-99
J13055863+03572317,31.06,0.181,3,0,196.49429,3.956436,Sb,-99
J13452530+03482389,11.11,0.439,1,0,206.35542,3.806636,Sa,-99
J13465194+03445200,22.6,0.598,5,0,206.71642,3.747778,Sc,-99
J13470924+03383789,10.51,0.757,1,4,206.7885,3.643858,SBa,-99
J13471852+03460282,15.48,0.28,5,0,206.82717,3.76745,Sc,-99
J14083694+03252261,13.8,0.613,4,2,212.15392,3.422947,SBb,-99
J14250550+03135923,10.18,0.743,-2,0,216.27292,3.233119,S0,-99
J14283331+03154328,19.67,0.212,3,0,217.13879,3.262022,Sb,-99
J14304364+03114934,5.07,0.299,1,0,217.68183,3.197039,Sa,-99
J14305286+03160829,13.1,0.646,3,0,217.72025,3.268969,Sb,-99
J14325468+03125505,15.6,0.68,5,0,218.22783,3.215292,Sc,-99
J14363851+03113643,12.87,0.569,4,0,219.16046,3.193453,Sb,-99
J14393784+03084800,22.89,0.747,0,0,219.90767,3.146667,S0,-99
J14404611+03055584,7.26,0.675,0,0,220.19212,3.098844,S0,-99
J14405930+03081349,18.16,0.309,3,0,220.24708,3.137081,Sb,-99
J14460983+03032801,6.73,0.465,1,0,221.54096,3.057781,Sa,-99
J14532339+02575949,35.98,0.789,3,0,223.34746,2.966525,Sb,-99
J14533291+03043827,18.38,0.749,-5,0,223.38712,3.077297,E3,3
J14535213+03021080,8.86,0.087,3,0,223.46721,3.036333,Sb,-99
J14543274+02575915,23.5,0.75,-5,0,223.63642,2.966431,E2,2
J14553298+03021381,7.92,0.771,-2,0,223.88742,3.037169,S0,-99
J15085110+02480255,17.36,0.703,3,0,227.21292,2.800708,Sb,-99
J12373356+04220366,77.5,0.573,5,0,189.38983,4.367683,Sc,-99
J12442155+04253913,15.38,0.18,4,0,191.08979,4.427536,Sb,-99
J12473781+04311148,7.04,0.707,5,0,191.90754,4.519856,Sc,-99
J12595328+04182273,17.9,0.819,3,4,194.972,4.306314,SBb,-99
J13082962+04220467,11.24,0.727,4,0,197.12342,4.367964,Sb,-99
J13135185+04175030,16.64,0.808,-5,0,198.46604,4.297306,E2,2
J13175865+04241225,46.07,0.526,4,0,199.49437,4.403403,Sb,-99
J13343926+04074785,4,0.712,5,2,203.66358,4.129958,SBc,-99
J13372936+04061598,12.08,0.769,4,2,204.37233,4.104439,SBb,-99
J13495605+04082330,16.06,0.856,-5,0,207.48354,4.139806,E1,1
J13581522+03595388,13.18,0.521,5,0,209.56342,3.9983,Sc,-99
J14000900+04045079,7.2,0.748,3,0,210.0375,4.080775,Sb,-99
J14030979+03585080,13.64,0.807,3,0,210.79079,3.980778,Sb,-99
J14153547+03553277,11.23,0.645,3,4,213.89779,3.925769,SBb,-99
J14165902+03511977,12.76,0.747,0,4,214.24592,3.855492,S0,-99
J14205654+03521741,13.01,0.926,4,0,215.23558,3.871503,Sb,-99
