SDSS,petroR90_g,b_a,TT,Bar,RA,DE,hubble,ellip
J15534174-00342284,18.65,0.794,3,0,238.42392,-0.573011,Sb,-99
J15514683-00061862,13.93,0.954,-5,0,237.94512,-0.105172,E0,0
J15445322+00241548,11.33,0.848,-2,0,236.22175,0.4043,S0,-99
J15471132+00242481,17.56,0.854,4,0,236.79717,0.406892,Sb,-99
J15451439+00461989,38.48,0.329,5,0,236.30996,0.772192,Sc,-99
J15525543+00430487,6.54,0.76,-5,0,238.23096,0.718019,E2,2
J15535740+00411711,10.84,0.486,1,4,238.48917,0.688086,SBa,-99
J11012200-01082489,13.89,0.755,-5,0,165.34167,-1.140247,E2,2
J11240863-01092783,10.71,0.617,0,0,171.03596,-1.157731,S0,-99
J11305791-01085106,8.77,0.952,-2,0,172.74129,-1.147517,S0,-99
J11383327-01110416,33.85,0.671,2,0,174.63862,-1.184489,Sa,-99
J11592723-01091848,12.99,0.286,5,0,179.86346,-1.155133,Sc,-99
J12015564-01040934,22.83,0.234,1,0,180.48183,-1.069261,Sa,-99
J12180855-01035082,31.76,0.505,3,0,184.53562,-1.064117,Sb,-99
J12415907-01104398,11.24,0.921,6,2,190.49612,-1.178883,SBc,-99
J12425726-01134593,80.35,0.244,5,0,190.73858,-1.229425,Sc,-99
J12475298-01110904,30.27,0.146,5,0,191.97075,-1.185844,Sc,-99
J12485991-01093543,10.34,0.463,0,0,192.24962,-1.159842,S0,-99
J13070563-01103663,0,0.583,3,0,196.77346,-1.176842,Sb,-99
J13123698-01115102,30.26,0.773,3,0,198.15408,-1.197506,Sb,-99
J13325512-01093406,23.18,0.749,3,0,203.22967,-1.159461,Sb,-99
J14072205-01054697,15.99,0.541,0,0,211.84187,-1.096381,S0,-99
J14252944-01035824,11.15,0.683,3,4,216.37267,-1.066178,SBb,-99
J11012721-00430593,10.62,0.541,-2,0,165.36337,-0.718314,S0,-99
J11043198-00434984,5.22,0.788,-3,0,166.13325,-0.730511,S0,-99
J11050921-00474910,17.55,0.374,1,8,166.28837,-0.796972,SBa,-99
J11111691-00492703,20.86,0.872,-5,0,167.82046,-0.824175,E1,1
J11202363-00475977,12.14,0.944,-5,0,170.09846,-0.799936,E1,1
J11232698-00424885,5.39,0.972,-5,0,170.86242,-0.713569,E0,0
J11253507-00460566,18.67,0.834,-5,0,171.39612,-0.768239,E2,2
J11324543-00442763,19.36,0.815,6,0,173.18929,-0.741008,Sc,-99
J11553798-00461426,5.18,0.538,4,2,178.90825,-0.770628,SBb,-99
J12012792-00430618,73.48,0.707,2,4,180.36633,-0.718383,SBa,-99
J12141131-00495368,21.97,0.576,3,0,183.54712,-0.831578,Sb,-99
J12164910-00443047,16.25,0.844,-5,0,184.20458,-0.741797,E2,2
J12175289-00392602,12.07,0.592,2,0,184.47037,-0.657228,Sa,-99
J12463210-00383677,10.7,0.429,0,0,191.63375,-0.643547,S0,-99
J12571515-00392752,8.34,0.409,1,0,194.31312,-0.657644,Sa,-99
J13020358-00501235,15.3,0.893,-5,0,195.51492,-0.836764,E1,1
J13085011-00490235,26.63,0.667,-5,0,197.20879,-0.817319,E3,3
J13085534-00480577,11.58,0.342,1,8,197.23058,-0.801603,SBa,-99
J13090363-00455762,15.32,0.785,0,72,197.26512,-0.766006,S0,-99
J13223488-00404699,7.71,0.543,1,8,200.64533,-0.679719,SBa,-99
J13575680-00400069,15.29,0.621,1,8,209.48667,-0.666858,SBa,-99
J14045174-00382981,30.14,0.792,1,4,211.21558,-0.641614,SBa,-99
J14052526-00484084,16.02,0.559,3,4,211.35525,-0.811344,SBb,-99
J14080052-00491852,10.51,0.929,-5,0,212.00217,-0.821811,E1,1
J14102683-00495653,6.9,0.47,0,72,212.61179,-0.832369,S0,-99
J14121560-00375888,16.32,0.325,5,0,213.065,-0.633022,Sc,-99
J14122485-00495526,6.09,0.794,-5,0,213.10354,-0.832017,E2,2
J14150062-00474902,10.87,0.578,-5,0,213.75258,-0.79695,E4,4
J14162895-00443796,19.43,0.499,4,8,214.12062,-0.743878,SBb,-99
J14214976-00463882,9.19,0.91,-3,0,215.45733,-0.77745,S0,-99
J14241099-00404407,16.89,0.354,3,68,216.04579,-0.678908,SBb,-99
J15054687-00425370,26.21,0.404,5,0,226.44529,-0.714917,Sc,-99
J15093019-00461620,23.8,0.543,3,0,227.37579,-0.771167,Sb,-99
J15175157-00473554,11.27,0.865,-5,0,229.46487,-0.793206,E1,1
J15174649-00463403,21.15,0.751,5,0,229.44371,-0.776119,Sc,-99
J15252367-00423589,12.83,0.936,1,4,231.34862,-0.709969,SBa,-99
J15303329-00483353,19.98,0.925,-5,0,232.63871,-0.809314,E1,1
J15350971-00395002,9.67,0.88,-5,0,233.79046,-0.663894,E1,1
J11004670-00234920,6.62,0.489,-2,0,165.19458,-0.397,S0,-99
J11034937-00123654,10.86,0.834,1,0,165.95571,-0.21015,Sa,-99
J11053797-00130275,8.28,0.871,0,0,166.40821,-0.217431,S0,-99
J11155950-00205905,13.85,0.527,1,8,168.99792,-0.349736,SBa,-99
J11184296-00214198,13.43,0.692,4,0,169.679,-0.361661,Sb,-99
J11355742-00162358,8.04,0.851,5,0,173.98925,-0.273217,Sc,-99
J11484042-00171029,7.92,0.555,-2,0,177.16842,-0.286192,S0,-99
J12041907-00185581,3.02,0.772,-3,0,181.07946,-0.315503,S0,-99
J12175243-00214363,14.6,0.904,1,4,184.46846,-0.362119,SBa,-99
J12184023-00152330,7.89,0.713,-2,0,184.66762,-0.256472,S0,-99
J12340885-00211906,23.06,0.61,5,4,188.53687,-0.355294,SBc,-99
J12434507-00212646,10.52,0.979,-5,0,190.93779,-0.35735,E0,0
J13112635-00145904,63.29,-99,3,0,197.85979,-0.249733,Sb,-99
J13175956-00174334,0,0.793,5,2,199.49817,-0.295372,SBc,-99
J13250224-00224232,10.09,0.82,-3,0,201.25933,-0.378422,S0,-99
J13285351-00192166,12.44,0.537,3,4,202.22296,-0.322683,SBb,-99
J13294858-00173899,31.87,0.363,5,0,202.45242,-0.294164,Sc,-99
J13350454-00182303,48.04,0.723,3,8,203.76892,-0.306397,SBb,-99
J13382607-00133941,21.74,0.406,1,0,204.60862,-0.227614,Sa,-99
J13384543-00250062,17.85,0.495,6,0,204.68929,-0.416839,Sc,-99
J13420801-00163157,16.52,0.866,-5,0,205.53337,-0.275436,E1,1
J13580705-00233292,18.6,0.899,4,0,209.52937,-0.392478,Sb,-99
J14021058-00141030,39.34,0.413,3,0,210.54408,-0.236194,Sb,-99
J14030242-00200794,7.95,0.619,-2,0,210.76008,-0.335539,S0,-99
J14060142-00183800,24.54,0.844,5,8,211.50592,-0.310556,SBc,-99
J14075334-00192775,15.31,0.912,-3,0,211.97225,-0.324375,S0,-99
J14144354-00165603,25.95,0.582,2,8,213.68142,-0.282231,SBa,-99
J14273171-00172447,13.25,0.931,3,0,216.88212,-0.290131,Sb,-99
J14381650-00205909,14.26,0.488,1,0,219.56875,-0.349747,Sa,-99
J14521103-00152198,16.22,0.753,1,8,223.04596,-0.256106,SBa,-99
J14521606-00173706,11.93,0.912,-5,0,223.06692,-0.293628,E1,1
J15044418-00210711,9.38,0.719,-5,0,226.18408,-0.351975,E3,3
J15082575-00155855,14.67,0.749,-5,0,227.10729,-0.266264,E3,3
J15095205-00230492,12.18,0.361,-3,0,227.46687,-0.3847,S0,-99
J15105576-00192474,9.76,0.809,-5,0,227.73233,-0.323539,E2,2
J15113700-00162260,17.48,0.75,5,0,227.90417,-0.272944,Sc,-99
J15162309-00180514,10.71,0.723,-5,0,229.09621,-0.301428,E3,3
J15202455-00133082,8.23,0.831,-5,0,230.10229,-0.225228,E2,2
J15233398-00234535,6.98,0.411,3,0,230.89158,-0.395931,Sb,-99
J15272365-00150763,6.07,0.371,3,0,231.84854,-0.252119,Sb,-99
J15291273-00150792,18.04,0.8,-5,0,232.30304,-0.2522,E2,2
J15304515-00221153,13.5,0.374,2,0,232.68812,-0.369869,Sa,-99
J11130519+00001093,16.85,0.717,-5,0,168.27162,0.003036,E3,3
J11125628+00095554,26.85,0.726,1,4,168.2345,0.165428,SBa,-99
J11130617+00041036,21.97,0.586,1,0,168.27571,0.069544,Sa,-99
J11152209+00065541,7.98,0.885,7,72,168.84204,0.115392,SBc,-99
J11160022+00090072,8.5,0.629,-5,0,169.00092,0.1502,E4,4
J11185619+00103400,25.56,0.787,6,4,169.73412,0.176111,SBc,-99
J11205468+00102135,19.17,0.506,2,0,170.22783,0.172597,Sa,-99
J11230324+00032684,16.13,0.872,-5,0,170.7635,0.057456,E1,1
J11343915+00072914,19.69,0.742,1,0,173.66312,0.124761,Sa,-99
J11352327+00052598,9.08,0.854,-5,0,173.84696,0.09055,E1,1
J11452629+00001454,8.86,0.504,0,0,176.35954,0.004039,S0,-99
J11512264+00070234,9.65,0.914,-2,0,177.84433,0.117317,S0,-99
J11590971+00000669,11.41,0.74,3,0,179.79046,0.001858,Sb,-99
J12010499+00064956,7.74,0.358,0,0,180.27079,0.113767,S0,-99
J12082351+00063695,9.27,0.841,-5,0,182.09796,0.110264,E2,2
J12083130+00081139,50.91,0.567,4,0,182.13042,0.136497,Sb,-99
J12242731+00091039,36.97,0.751,5,72,186.11379,0.152886,SBc,-99
J12282712+00083266,20.52,0.693,5,0,187.113,0.142406,Sc,-99
J12395249+00073175,9.2,0.565,0,0,189.96871,0.125486,S0,-99
J12424962+00012714,27,0.928,1,0,190.70675,0.024206,Sa,-99
J12464745+00070285,10.54,0.726,-2,0,191.69771,0.117458,S0,-99
J13104470+00015549,15.12,0.771,4,0,197.68625,0.032081,Sb,-99
J13112996+00085771,10.52,0.924,-5,0,197.87483,0.149364,E1,1
J13215190+00082176,7.46,0.384,-2,0,200.46625,0.139378,S0,-99
J13284913+00025822,24.66,0.827,1,0,202.20471,0.049506,Sa,-99
J13534279+00033914,9.73,0.638,0,0,208.42829,0.060872,S0,-99
J13544465+00065442,38.12,0.464,1,2,208.68604,0.115117,SBa,-99
J14013799+00040252,8.99,0.949,4,0,210.40829,0.067367,Sb,-99
J14040739+00083844,7.46,0.481,-2,0,211.03079,0.144011,S0,-99
J14133000+00110902,9.58,0.306,6,0,213.375,0.185839,Sc,-99
J14172217+00012533,19.88,0.624,2,0,214.34237,0.023703,Sa,-99
J14183545+00092778,12.34,0.528,4,0,214.64771,0.157717,Sb,-99
J14301970+00070890,8.42,0.788,-5,0,217.58208,0.119139,E2,2
J14354007+00121776,5.7,0.891,0,4,218.91696,0.204933,S0,-99
J14441888+00023089,9.64,0.626,-3,0,221.07867,0.041914,S0,-99
J14505259+00054021,9.26,0.878,-5,0,222.71912,0.094503,E1,1
J14533692+00002055,9.22,0.984,-5,0,223.40383,0.005708,E0,0
J15004836+00103516,8.061,0.495,0,0,225.2015,0.176433,S0,-99
J15014524+00003051,14.8,0.857,-5,0,225.4385,0.008475,E1,1
J15065485+00111079,15.91,0.348,0,0,226.72854,0.186331,S0,-99
J15084964+00104103,23.21,0.606,5,0,227.20683,0.178064,Sc,-99
J15101549+00022505,9.2,0.662,4,4,227.56454,0.040292,SBb,-99
J15172732+00070986,12.15,0.708,5,8,229.36383,0.119406,SBc,-99
J15225886+00055616,17.5,0.705,0,0,230.74525,0.098933,S0,-99
J15491928+00105757,22.79,0.243,4,0,237.33033,0.182658,Sb,-99
J15495953+00120715,18.36,0.425,0,72,237.49804,0.201986,S0,-99
J11085577+00264130,5.5,0.95,-5,0,167.23237,0.444806,E1,1
J11160933+00342472,27.11,0.512,4,0,169.03887,0.573533,Sb,-99
J11184955+00370939,11.5,0.832,5,0,169.70646,0.619275,Sc,-99
J11204801+00280685,10.49,0.276,1,0,170.20004,0.468569,Sa,-99
J11204843+00345007,23.61,0.726,4,0,170.20179,0.580575,Sb,-99
J11205975+00320321,18.49,0.385,2,0,170.24896,0.534225,Sa,-99
J11230643+00364625,8.5,0.922,-3,0,170.77679,0.612847,S0,-99
J11302932+00293949,14.69,0.715,-5,0,172.62217,0.494303,E3,3
J11572303+00291389,11.21,0.476,1,0,179.34596,0.487192,Sa,-99
J12002391+00292639,9.42,0.463,0,0,180.09962,0.490664,S0,-99
J12092864+00315979,8.7,0.39,0,0,182.36933,0.533275,S0,-99
J12290696+00345189,18.6,0.256,5,0,187.279,0.581081,Sc,-99
J12310836+00364934,28.21,0.29,-5,0,187.78483,0.613706,E7,7
J12311104+00362242,9.2,0.248,-5,0,187.796,0.606228,E7,7
J12392243+00273683,17.05,0.449,1,0,189.84346,0.460231,Sa,-99
J12433867+00324960,16.41,0.808,1,0,190.91112,0.547111,Sa,-99
J13010408+00342433,17.08,0.328,1,0,195.267,0.573425,Sa,-99
J13171077+00313919,19.24,0.856,4,0,199.29487,0.527553,Sb,-99
J13273815+00265482,14.12,0.532,4,0,201.90896,0.448561,Sb,-99
J13300696+00303456,14.18,0.789,-5,0,202.529,0.5096,E2,2
J13370800+00270763,7.82,0.938,-5,0,204.28333,0.452119,E1,1
J13415901+00360531,9.35,0.435,0,0,205.49587,0.601475,S0,-99
J13531411+00265014,5.14,0.685,-2,0,208.30879,0.447261,S0,-99
J14111048+00344366,15.41,0.411,2,0,212.79367,0.578794,Sa,-99
J14170167+00283744,18.3,0.908,2,4,214.25696,0.477067,SBa,-99
J14172796+00285800,20.39,0.781,-5,0,214.3665,0.482778,E2,2
J14174985+00303936,11.05,0.73,-5,0,214.45771,0.510933,E3,3
J14255667+00364655,9.5,0.668,-2,0,216.48612,0.612931,S0,-99
J14340585+00371229,22.64,0.706,-5,0,218.52437,0.620081,E3,3
J14351972+00283261,5.88,0.661,4,4,218.83217,0.475725,SBb,-99
J14390714+00303105,23.62,0.624,6,0,219.77975,0.508625,Sc,-99
J14450329+00313712,27.77,0.394,4,0,221.26371,0.526978,Sb,-99
J14495738+00332984,10.83,0.86,-5,0,222.48908,0.558289,E1,1
J14500216+00344358,6.48,0.92,-3,0,222.509,0.578772,S0,-99
J15044021+00361623,9.26,0.597,0,8,226.16754,0.604508,S0,-99
J15064796+00302799,5.66,0.313,-2,0,226.69983,0.507775,S0,-99
J15213786+00275768,16.031,0.313,5,0,230.40775,0.466022,Sc,-99
J15222193+00314366,11.52,0.781,-5,0,230.59137,0.528794,E2,2
J15263766+00353342,5.88,0.389,1,0,231.65692,0.592617,Sa,-99
J15325803+00262664,16.53,0.778,-5,0,233.24179,0.440733,E2,2
J15331042+00292672,11.15,0.963,-5,0,233.29342,0.490756,E0,0
J15425794+00322469,15.21,0.713,-5,0,235.74142,0.540192,E3,3
J15490121+00304460,32.35,0.87,5,4,237.25504,0.512389,SBc,-99
J15502416+00340910,13.87,0.488,1,0,237.60067,0.569194,Sa,-99
J11053602+00524030,9.4,0.751,-5,0,166.40008,0.877861,E2,2
J11154940+00513747,26.05,0.416,-3,0,168.95583,0.860408,S0,-99
J11163304+00554237,13.29,0.903,1,0,169.13767,0.928436,Sa,-99
J11183601+01015161,15.41,0.921,-5,0,169.65004,1.031003,E1,1
J11192680+00580510,6.27,0.76,-3,0,169.86167,0.968083,S0,-99
J11240755+00581879,38.98,0.923,1,0,171.03146,0.971886,Sa,-99
J11281639+00532878,26.42,0.789,4,0,172.06829,0.891328,Sb,-99
J11323322+00595303,10.41,0.418,6,0,173.13842,0.998064,Sc,-99
J11445304+00562267,3.76,0.598,-2,0,176.221,0.939631,S0,-99
J12095386+00554267,15.22,0.381,1,4,182.47442,0.928519,SBa,-99
J12110406+00582028,46.79,0.947,-3,0,182.76692,0.9723,S0,-99
J12152804+01010205,11.19,0.388,0,0,183.86683,1.017236,S0,-99
J12405363+01003008,13.86,0.809,0,0,190.22346,1.008356,S0,-99
J12422567+00564872,11.35,0.731,1,2,190.60696,0.946867,SBa,-99
J13080308+00573570,22.51,0.3,5,72,197.01283,0.959917,SBc,-99
J13093188+00512529,24.12,0.754,0,8,197.38283,0.857025,S0,-99
J13125113+01000645,15.77,0.93,-5,0,198.21304,1.001792,E1,1
J13125474+01020948,13.49,0.931,-5,0,198.22808,1.035967,E1,1
J13125605+00562821,10.8,0.921,4,0,198.23354,0.941169,Sb,-99
J13171092+00544882,19.13,0.554,3,0,199.2955,0.913561,Sb,-99
J13323885+00521371,14.29,0.624,4,0,203.16187,0.870475,Sb,-99
J14040371+00534745,14.65,0.818,5,0,211.01546,0.896514,Sc,-99
J14065178+00510048,15.42,0.488,-5,0,211.71575,0.850133,E5,5
J14105769+01020866,11.93,0.377,1,0,212.74037,1.035739,Sa,-99
J14181491+00532791,43,0.749,5,0,214.56212,0.891086,Sc,-99
J14231469+00584204,37.52,0.893,4,0,215.81121,0.978344,Sb,-99
J14261298+00513810,7.26,0.902,-5,0,216.55408,0.860583,E1,1
J14265309+00574628,9.46,0.308,7,0,216.72121,0.962856,Sc,-99
J14272036+01013302,58.29,0.64,3,2,216.83483,1.025839,SBb,-99
J14280453+01002259,12.59,0.686,3,0,217.01887,1.006275,Sb,-99
J14300057+01024589,8.22,0.598,0,0,217.50237,1.046081,S0,-99
J14461335+00515777,13.58,0.927,3,0,221.55562,0.866047,Sb,-99
J14554463+00515803,7.65,0.607,1,0,223.93596,0.866119,Sa,-99
J15062546+00554486,10.98,0.359,5,0,226.60608,0.929128,Sc,-99
J09293523-00540415,10.71,0.571,-5,0,142.39679,-0.901153,E4,4
J09460307-00504481,8,0.611,5,8,146.51279,-0.845781,SBc,-99
J09583712-00554622,12.28,0.679,-5,0,149.65467,-0.929506,E3,3
J10134682-00545125,12.7,0.249,5,0,153.44508,-0.914236,Sc,-99
J10142570-00521872,20.88,0.582,-5,0,153.60708,-0.871867,E4,4
J10183252-00593238,9.29,0.332,0,80,154.6355,-0.992328,S0,-99
J10194935-01012153,11.59,0.669,5,4,154.95562,-1.022647,SBc,-99
J10244320-00524911,20.9,0.72,5,0,156.18,-0.880308,Sc,-99
J10245032-00534296,12.28,0.676,5,0,156.20967,-0.895267,Sc,-99
J10403463-00543390,6.78,0.92,-5,0,160.14429,-0.909417,E1,1
J10405126-00551930,8.95,0.364,5,0,160.21358,-0.922028,Sc,-99
J10433474-00560326,11.6,0.877,-5,0,160.89475,-0.934239,E1,1
J11025773-00574362,16.42,0.98,5,0,165.74054,-0.962117,Sc,-99
J11064746-00552694,7.83,0.981,-5,0,166.69775,-0.92415,E0,0
J11092013-00511302,22.08,0.651,3,8,167.33387,-0.853617,SBb,-99
J11121063-00584517,7.91,0.864,2,0,168.04429,-0.979214,Sa,-99
J11163797-01013931,5.62,0.345,0,0,169.15821,-1.027586,S0,-99
J11223212-00502819,7.97,0.499,-2,0,170.63383,-0.841164,S0,-99
J11243705-00593073,14.56,0.749,-5,0,171.15437,-0.991869,E3,3
J11320923-00563335,7.64,0.736,-2,0,173.03846,-0.942597,S0,-99
J11372746-00504765,16.281,0.587,-5,0,174.36442,-0.846569,E4,4
J11400622-00540511,27.54,0.733,4,0,175.02592,-0.901419,Sb,-99
J12093522-00544489,9.85,0.923,-5,0,182.39675,-0.912469,E1,1
J12163650-00572141,14.15,0.515,0,0,184.15208,-0.955947,S0,-99
J12194827-00523161,15.17,0.56,5,4,184.95112,-0.875447,SBc,-99
J12211294-00515127,10.45,0.625,5,0,185.30392,-0.864242,Sc,-99
J12213169-00510976,6.76,0.739,-3,0,185.38204,-0.852711,S0,-99
J12553689-00530154,13.35,0.808,6,0,193.90371,-0.883761,Sc,-99
J12585464-00582183,9.14,0.685,-3,0,194.72767,-0.972731,S0,-99
J13073869-00563286,47.8,0.817,6,0,196.91121,-0.942461,Sc,-99
J13102376-01003789,11.47,0.624,-3,0,197.599,-1.010525,S0,-99
J13164368-00572678,15.11,0.437,5,2,199.182,-0.957439,SBc,-99
J13191376-00591602,18.44,0.882,0,0,199.80733,-0.987783,S0,-99
J13191658-00550135,12.29,0.874,-5,0,199.81908,-0.917042,E1,1
J13205464-00562828,12.38,0.719,0,8,200.22767,-0.941189,S0,-99
J13250536-00541122,10.96,0.622,1,0,201.27233,-0.903117,Sa,-99
J13272198-01003118,8.64,0.497,-2,0,201.84158,-1.008661,S0,-99
J13330534-01020889,23.71,0.62,3,0,203.27225,-1.035803,Sb,-99
J13353877-00551214,7.77,0.983,2,0,203.91154,-0.920039,Sa,-99
J10010954-00044624,13.99,0.846,-5,0,150.28975,-0.079511,E2,2
J14001327-00574585,8.12,0.683,-2,0,210.05529,-0.962736,S0,-99
J14031179-00582935,12.33,0.417,1,0,210.79912,-0.974819,Sa,-99
J14071111-00524310,10.75,0.895,-5,0,211.79629,-0.878639,E1,1
J14071256-01004679,10.44,0.979,5,72,211.80233,-1.012997,SBc,-99
J14073887-00571914,20.35,0.729,-5,0,211.91196,-0.955317,E3,3
J14103387-00591807,11.63,0.576,1,0,212.64112,-0.988353,Sa,-99
J14130535-00504645,3.87,0.918,-5,0,213.27229,-0.846236,E1,1
J14141317-00533982,34.06,0.429,5,0,213.55487,-0.894394,Sc,-99
J14273151-00552074,10.8,0.771,-2,0,216.88129,-0.922428,S0,-99
J14463443-00505845,7.78,0.528,-2,0,221.64346,-0.849569,S0,-99
J14471966-00572700,60.75,0.814,5,0,221.83192,-0.9575,Sc,-99
J14490936-00541022,40.66,0.838,7,0,222.289,-0.902839,Sc,-99
J14504256-00523288,19.79,0.929,1,0,222.67733,-0.8758,Sa,-99
J08441714-00252964,10.52,0.932,-5,0,131.07142,-0.4249,E1,1
J08561872-00262939,4.9,0.471,-2,0,134.078,-0.441497,S0,-99
J09004017-00291232,8.71,0.412,2,68,135.16737,-0.486756,SBa,-99
J09173493-00345757,6.01,0.971,-3,0,139.39554,-0.582658,S0,-99
J09172899-00371410,31.47,0.224,5,0,139.37079,-0.620583,Sc,-99
J09220974-00322243,17.96,0.559,4,0,140.54058,-0.539564,Sb,-99
J09221733-00324895,14.76,0.633,-3,0,140.57221,-0.546931,S0,-99
J09362631-00341687,23.98,0.756,6,0,144.10962,-0.571353,Sc,-99
J09394984-00334151,12.53,0.544,6,0,144.95767,-0.561531,Sc,-99
J10105799-00301015,10.46,0.815,-5,0,152.74162,-0.502819,E2,2
J10265458-00322939,8.66,0.947,-2,0,156.72742,-0.541497,S0,-99
J10331982-00360583,11.18,0.519,1,8,158.33258,-0.601619,SBa,-99
J10335136-00334090,58.02,0.716,3,8,158.464,-0.561361,SBb,-99
J10360561-00310783,11.12,0.845,-5,0,159.02337,-0.518842,E2,2
J10434517-00252369,7.05,0.59,1,0,160.93821,-0.423247,Sa,-99
J10492486-00254758,12.09,0.591,1,0,162.35358,-0.429883,Sa,-99
J10520678-00333888,46.22,0.347,2,0,163.02825,-0.5608,Sa,-99
J10532076-00362298,19.36,0.352,6,0,163.3365,-0.606383,Sc,-99
J11591287-00312575,14.38,0.751,1,0,179.80362,-0.523819,Sa,-99
J11595625-00325355,27.69,0.775,5,0,179.98437,-0.548208,Sc,-99
J12084422-00322705,16.45,0.781,-2,0,182.18425,-0.540847,S0,-99
J12101786-00310442,19.16,0.409,1,0,182.57442,-0.517894,Sa,-99
J12233748-00282131,14.06,0.625,6,4,185.90617,-0.472586,SBc,-99
J12430650-00261651,17.29,0.761,0,0,190.77708,-0.437919,S0,-99
J12442886-00271050,7.86,0.422,1,0,191.12025,-0.452917,Sa,-99
J12553815-00352638,8.4,0.804,-2,0,193.90896,-0.590661,S0,-99
J12572486-00372095,8.76,0.31,4,0,194.35358,-0.622486,Sb,-99
J13140861-00262802,60.39,0.661,4,4,198.53587,-0.441117,SBb,-99
J13154731-00274434,64.44,0.926,3,4,198.94712,-0.462317,SBb,-99
J14032074-00325977,10.36,0.933,5,8,210.83642,-0.549936,SBc,-99
J14045262-00364057,28.66,0.656,5,0,211.21925,-0.611269,Sc,-99
J14082485-00352089,14.7,0.696,3,0,212.10354,-0.589136,Sb,-99
J14262823-00341294,12.03,0.959,1,0,216.61762,-0.570261,Sa,-99
J14365049-00371964,13.21,0.713,0,0,219.21037,-0.622122,S0,-99
J14505550-00293256,6.31,0.778,-5,0,222.73125,-0.492378,E2,2
J14510391-00274398,10.36,0.54,-2,0,222.76629,-0.462217,S0,-99
J15000802-00351099,7.03,0.697,4,2,225.03342,-0.586386,SBb,-99
J15272478-00263863,11.4,0.598,0,0,231.85325,-0.444064,S0,-99
J15322166-00254968,60.15,0.723,2,0,233.09025,-0.430467,Sa,-99
J15382232-00274362,8.58,0.458,1,0,234.593,-0.462117,Sa,-99
J08422727-00084260,15.58,0.917,5,0,130.61362,-0.145167,Sc,-99
J08574732-00115986,11.41,0.895,5,0,134.44717,-0.199961,Sc,-99
J08594688-00002021,7.29,0.377,0,0,134.94533,-0.005614,S0,-99
J09065544-00015272,13.13,0.637,5,0,136.731,-0.031311,Sc,-99
J09451196-00071198,17.31,0.467,1,0,146.29983,-0.119994,Sa,-99
J09455253-00053419,21.16,0.601,-5,0,146.46887,-0.092831,E4,4
J09524393-00032991,13.42,0.847,4,0,148.18304,-0.058308,Sb,-99
J09554888-00054965,14.32,0.834,-5,0,148.95367,-0.097125,E2,2
J10015294-00073056,10.28,0.904,-2,0,150.47058,-0.125156,S0,-99
J10075291-00091362,8,0.634,0,0,151.97046,-0.153783,S0,-99
J10135907-00045369,9.5,0.634,-2,0,153.49612,-0.081581,S0,-99
J10295263-00102775,13.53,0.251,3,0,157.46929,-0.174375,Sb,-99
J10361428-00093248,10.36,0.518,4,0,159.0595,-0.159022,Sb,-99
J10392045-00120089,23.5,0.807,-5,0,159.83521,-0.200247,E2,2
J10465166-00063078,11.01,0.38,0,0,161.71525,-0.10855,S0,-99
J11003603-00004476,15.95,0.486,1,0,165.15012,-0.012433,Sa,-99
J11073737-00013809,18.32,0.836,-5,0,166.90571,-0.027247,E2,2
J11092531-00055175,27.28,0.418,3,0,167.35546,-0.097708,Sb,-99
J11102055-00072029,20.4,0.686,0,0,167.58562,-0.122303,S0,-99
J11120258-00102938,9.69,0.724,0,0,168.01075,-0.174828,S0,-99
J11132794-00032496,11.58,0.851,0,72,168.36642,-0.056933,S0,-99
J11315863-00030116,36.67,0.618,5,0,172.99429,-0.050322,Sc,-99
J11390333-00122160,21.12,0.165,4,0,174.76387,-0.206,Sb,-99
J11513146-00030364,6.16,0.848,2,8,177.88108,-0.051011,SBa,-99
J12002887-00072486,16.08,0.593,-5,0,180.12029,-0.123572,E4,4
J12072479-00092994,19.55,0.76,6,8,181.85329,-0.158317,SBc,-99
J12095308-00005764,18.43,0.278,3,0,182.47117,-0.016011,Sb,-99
J12103557-00101738,12.97,0.64,4,0,182.64821,-0.171494,Sb,-99
J12140395-00041075,4.06,0.372,-2,0,183.51646,-0.069653,S0,-99
J12380533-00013726,29.99,0.337,5,0,189.52221,-0.027017,Sc,-99
J12445738-00023529,22.23,0.796,-5,0,191.23908,-0.043136,E2,2
J13134766-00024415,9.67,0.844,1,0,198.44858,-0.045597,Sa,-99
J13184296-00104416,9.76,0.934,-5,0,199.679,-0.178933,E1,1
J13282885-00064014,11.78,0.511,3,0,202.12021,-0.11115,Sb,-99
J13290323-00023703,13.74,0.46,1,0,202.26346,-0.043619,Sa,-99
J13510222-00091513,57.94,0.491,2,4,207.75925,-0.154203,SBa,-99
J14050589-00035060,23.2,0.583,5,0,211.27454,-0.064056,Sc,-99
J14083161-00073733,17.65,0.798,6,4,212.13171,-0.127036,SBc,-99
J14115345-00030237,8.34,0.362,0,0,212.97271,-0.050658,S0,-99
J14115380-00020307,16.371,0.692,4,0,212.97417,-0.034186,Sb,-99
J14185006-00053770,13.1,0.554,5,0,214.70858,-0.093806,Sc,-99
J14384298-00002788,10.6,0.301,1,0,219.67908,-0.007744,Sa,-99
J15073932-00063409,8.42,0.448,0,4,226.91383,-0.109469,S0,-99
J15085394-00114904,5.75,0.737,-2,0,227.22475,-0.196956,S0,-99
J15090103-00095724,13.81,0.769,-5,0,227.25429,-0.1659,E2,2
