OBJID,RA,DEC
587731514220937427,01:56:52.19,+01:04:27.9
587724199894319183,01:57:12.97,+14:44:07.6
587731511536976068,02:00:18.30,-00:51:41.6
587724199357841564,02:00:31.83,+14:10:30.7
587727882819534983,02:01:05.94,-09:32:52.6
587731512074043511,02:02:00.25,-00:28:54.7
587724233183395925,02:03:28.88,+13:58:16.4
587724199358300336,02:04:55.76,+14:00:55.4
588015509283078324,02:05:28.24,+00:00:58.0
587731513685049436,02:05:57.03,+00:46:24.0
587731514222051499,02:06:44.61,+01:13:45.7
587727780279484498,02:09:47.29,-09:01:02.5
587727779742613568,02:09:50.74,-09:22:11.3
588015508746731538,02:09:58.60,-00:15:12.5
587724198285344963,02:11:49.09,+13:01:15.8
587727180611256452,02:12:20.71,-07:56:03.6
587727179000643637,02:12:22.46,-09:06:00.2
587724233184510023,02:13:44.08,+13:33:31.8
587727779743138012,02:14:30.00,-09:21:56.3
588015510358327499,02:19:05.36,+00:51:58.9
587727179538563165,02:21:58.95,-08:33:49.6
587727179538759837,02:23:56.51,-08:29:58.7
587724241225580643,02:37:29.53,-08:17:09.5
587727179003920399,02:42:48.69,-08:23:56.6
587724240152625253,02:44:45.71,-09:01:34.3
587727179004182597,02:45:13.27,-08:20:54.2
588015508213727352,02:45:13.77,-00:44:46.0
588015508213727424,02:45:27.01,-00:45:02.7
588015508750860453,02:47:56.35,-00:19:51.4
587724242300895371,02:51:41.58,-07:15:09.1
587731512616419440,02:52:32.24,-00:02:52.2
587727180079628384,03:00:29.84,-07:10:38.0
587731513154535471,03:03:52.91,+00:24:55.0
587731512081121308,03:06:38.46,-00:30:35.9
587727179543543902,03:08:05.38,-07:21:58.6
587731513691996289,03:09:20.06,+00:43:58.5
587727180080808073,03:11:08.25,-06:54:54.9
588015507680002103,03:13:54.84,-01:06:48.1
588015510364881085,03:19:10.25,+00:58:52.5
587727178471178287,03:20:37.17,-07:49:12.2
588015509828403335,03:22:22.55,+00:26:12.9
587731512083087505,03:24:38.13,-00:25:19.3
587731512619958356,03:25:01.55,-00:11:34.6
587724242304630955,03:25:37.39,-06:07:29.6
587727178471702700,03:25:48.16,-07:35:39.4
587731513694027945,03:28:02.62,+00:45:02.4
587727180619579491,03:28:27.51,-05:55:03.4
587731512620351684,03:28:32.00,-00:09:16.7
588015510365929606,03:28:33.19,+01:00:24.1
587724241768480959,03:32:34.45,-06:26:42.7
587731512084005054,03:32:51.33,-00:28:39.3
587727178472554674,03:33:20.85,-07:20:26.9
587731514231816228,03:36:01.59,+01:06:17.1
587724241232003222,03:36:02.09,-06:42:57.8
587724240695197794,03:37:10.36,-07:08:39.0
587724240696443008,03:48:15.74,-06:42:17.5
587727177937911917,03:53:42.67,-07:08:27.7
587727179549311104,04:00:20.11,-05:35:06.9
587724240161931380,04:09:42.20,-06:18:56.0
587738067262046698,07:23:37.01,+41:41:43.9
587737933581582435,07:25:37.12,+41:18:55.2
587737826744140047,07:27:41.68,+39:30:27.7
587737809564074350,07:27:51.83,+39:02:23.6
587737810101338410,07:28:16.98,+40:05:02.7
587737933044842951,07:28:43.93,+41:25:49.2
587737810101469287,07:28:47.63,+40:16:23.5
587737809026941094,07:28:59.04,+38:15:38.7
587738067800555624,07:29:20.08,+45:13:19.7
587737826744402063,07:29:33.58,+39:57:02.1
587737809564598721,07:30:40.97,+40:11:30.5
587737825670201756,07:30:55.72,+38:39:27.9
587737809027596748,07:32:05.69,+39:43:08.3
587737810102125043,07:32:13.16,+41:43:35.4
587737826207924502,07:33:22.72,+40:36:00.3
587725775066628306,07:37:43.84,+39:31:21.3
587732054307701270,07:38:00.26,+23:58:52.3
587727865641632172,07:38:24.65,+31:30:55.6
587728930795487599,07:38:32.52,+29:11:07.9
587728931869884866,07:39:10.59,+31:00:00.3
587738196112310318,07:39:24.04,+47:30:12.6
587738195037782383,07:39:52.06,+45:32:27.6
587737826209169802,07:40:51.04,+43:05:56.5
587738196649836792,07:41:33.09,+48:58:44.6
587725775067480340,07:42:37.46,+41:08:27.3
587728669875700029,07:42:58.81,+34:50:18.5
587725550655308001,07:43:30.15,+39:05:27.0
587738196650164280,07:43:36.45,+49:40:03.2
587737809029759226,07:44:01.08,+44:01:50.1
587725550655569945,07:44:25.86,+39:38:33.6
587727866717012374,07:45:04.93,+35:12:04.5
587738067803111674,07:45:09.06,+50:24:20.5
587737810104353002,07:45:16.68,+46:07:58.4
587728668801761483,07:45:35.73,+33:57:46.6
587738067266044044,07:45:47.94,+49:56:58.6
587732156850765997,07:45:56.38,+23:22:26.0
587728669876289791,07:46:43.85,+35:53:55.4
587737809567547529,07:48:32.82,+46:02:29.0
587728930797060479,07:48:32.99,+32:08:07.8
587738947730604401,07:48:51.41,+18:06:27.9
587739153351966840,07:49:47.73,+16:17:14.1
587738196651147341,07:50:02.65,+51:39:35.4
587738067803963433,07:50:23.96,+52:11:11.9
587731680647708939,07:50:29.25,+29:16:36.0
588007005231186287,07:50:50.19,+40:18:43.1
587739406754578785,07:50:56.41,+14:46:04.2
587725551730950496,07:51:05.05,+43:25:31.6
587728669877010501,07:51:13.18,+37:18:13.6
587732469844607467,07:51:14.63,+23:54:13.3
587737825673871478,07:51:51.47,+46:04:10.0
588013383794033229,07:52:04.62,+27:50:06.2
588013383256965310,07:52:23.90,+27:06:23.8
588016878823014708,07:52:27.27,+19:32:24.6
587738372205445274,07:52:40.51,+18:24:31.7
587738067804356951,07:53:24.30,+53:01:44.2
587728670414471408,07:53:31.67,+38:43:59.8
587728669877338430,07:53:36.90,+37:56:04.1
587737809568399494,07:53:52.46,+47:49:22.8
587741490350587994,07:53:54.98,+13:09:16.5
587738372205641744,07:53:57.85,+18:38:39.9
587741489813651474,07:54:05.21,+12:41:39.7
587731521735360844,07:54:18.06,+29:47:57.4
587732471456137600,07:54:18.11,+26:09:06.5
587738066193023267,07:54:44.39,+50:58:53.1
587739114697261727,07:55:00.05,+16:53:19.6
587727865644319116,07:55:25.79,+36:41:29.2
587738195040272652,07:55:46.66,+50:27:51.2
587737827285926126,07:55:54.93,+49:26:30.3
587727866181517606,07:55:59.84,+37:27:45.4
587741532763390147,07:55:59.96,+12:58:53.3
587727867255849315,07:56:12.28,+39:04:55.7
587731521198620916,07:56:13.65,+29:42:15.5
587731680111493198,07:56:34.20,+30:10:32.5
587728668803465549,07:56:35.09,+37:08:46.9
587725551194603623,07:56:38.86,+44:07:41.1
587741421632618990,07:56:45.63,+14:55:42.3
587737827286122796,07:57:17.31,+49:55:16.8
587738195040534792,07:57:31.42,+51:08:16.5
588007004157968694,07:58:07.34,+40:49:43.9
587739115771724291,07:58:49.19,+18:17:34.4
587725551732130057,07:59:38.86,+45:36:03.7
587728931873030441,07:59:39.06,+36:42:31.0
587727867256307982,07:59:44.30,+39:52:11.0
587728905564061741,07:59:47.02,+35:31:11.8
587732053236777269,08:00:08.51,+28:05:00.1
587741532763979887,08:00:37.52,+13:41:50.4
587742009505284614,08:00:39.62,+09:47:53.2
587727867256438956,08:00:42.43,+40:01:38.3
587727867256439118,08:00:43.20,+40:12:05.9
588023046932660649,08:00:45.27,+12:32:56.4
587725773995835639,08:00:50.74,+44:45:08.2
587738066193744090,08:00:51.89,+52:18:52.8
587731521736409323,08:01:05.18,+31:36:20.4
588013383795343662,08:01:12.40,+29:57:22.1
587732156315861139,08:01:21.43,+26:16:05.2
587732156315861030,08:01:22.38,+26:10:34.2
587741387272683703,08:01:23.13,+15:22:09.3
587739114698047931,08:01:26.29,+17:46:13.9
587732054311043454,08:01:31.00,+29:32:34.5
587732053774106997,08:01:55.76,+29:16:11.2
587737808495247588,08:01:58.40,+48:29:23.9
588013382721274340,08:02:12.82,+28:52:23.7
587737810106777829,08:02:35.77,+50:55:20.9
587731520662536505,08:03:17.32,+30:53:15.5
587725773996228833,08:03:23.09,+45:31:51.9
587741489814765927,08:03:29.78,+13:48:32.5
587738065656938604,08:03:38.70,+52:18:45.5
587738947195437432,08:03:40.57,+20:01:19.5
588297865246081349,08:03:42.42,+26:27:19.5
587739115772379540,08:03:56.26,+19:16:35.5
587728931336487147,08:04:01.31,+36:55:49.7
587737825675575499,08:04:02.08,+49:19:43.2
587738372206887338,08:04:10.66,+20:15:24.8
587738066731401573,08:04:10.89,+54:15:02.5
587739376155033971,08:04:27.18,+16:33:29.3
587738372743954885,08:04:39.77,+20:59:29.2
587731520662798385,08:04:56.43,+31:15:34.2
588297864172273948,08:05:31.33,+25:48:12.4
587735237418877059,08:05:37.69,+24:52:06.3
587738947195765026,08:05:51.70,+20:28:52.2
587735043608609154,08:05:52.52,+24:07:05.4
587725774533689509,08:06:00.66,+46:47:24.9
587727865645826164,08:06:07.11,+39:20:32.8
587741387273339179,08:06:23.49,+16:06:53.1
587734623238226151,08:06:30.18,+26:53:56.1
587739407293415871,08:06:34.42,+17:26:35.6
587738065657462830,08:07:13.91,+53:17:39.4
588013383796064689,08:07:18.04,+31:06:27.7
587737810107302188,08:07:21.47,+51:54:56.3
587741533301703226,08:07:32.31,+14:56:03.8
587732054311829905,08:07:32.67,+30:48:44.8
587744874785472984,08:08:02.04,+09:41:47.5
587738195579175154,08:08:09.20,+54:50:48.6
587735237419270199,08:08:16.95,+25:25:32.9
587737810644762769,08:08:34.10,+53:17:36.1
587739115235901848,08:08:37.85,+19:18:15.6
587741708323651713,08:08:58.51,+12:48:27.6
587739115236032935,08:09:09.56,+19:35:13.6
588007004159607049,08:09:53.79,+43:51:06.5
588007004696805567,08:10:01.42,+44:38:57.1
588297864172863665,08:10:05.95,+26:42:04.0
587735043609198704,08:10:06.07,+24:55:19.6
587744638562927148,08:10:14.40,+12:29:18.0
587735236882464903,08:10:21.41,+25:07:20.3
587734949115658560,08:10:22.23,+05:58:08.4
587737809033560071,08:10:47.35,+51:25:13.8
587731521200652512,08:10:52.85,+33:09:26.1
587731873387577693,08:10:58.98,+35:56:10.5
587727866183680257,08:11:10.63,+41:26:55.2
587728930800402681,08:11:13.39,+38:09:28.1
587731522274853133,08:11:21.86,+34:34:54.0
587732469847425311,08:11:54.44,+28:12:13.3
587741816770527655,08:12:03.74,+12:26:33.2
587732053775482916,08:12:06.73,+31:22:31.8
587741490889687530,08:12:27.97,+15:42:07.5
587737810645221588,08:12:45.98,+54:08:23.0
587725470666653854,08:13:11.74,+46:19:21.3
588023047471104413,08:13:17.61,+14:28:47.5
587738067269648563,08:13:21.04,+57:01:49.8
587727866183942408,08:13:48.13,+41:49:25.8
587727866184007720,08:13:52.38,+41:56:17.1
587731680113918128,08:13:58.63,+34:13:45.5
587728669343023348,08:14:06.23,+42:19:14.6
587739407831466271,08:15:16.09,+19:09:47.8
587738067806978158,08:15:25.61,+58:10:44.2
587732578830909946,08:15:37.21,+04:09:46.0
588007005234528490,08:15:41.99,+46:26:59.7
587737808496951425,08:15:53.15,+51:45:45.3
587735344253894967,08:15:57.12,+06:29:02.9
587738371671326907,08:16:00.65,+21:40:33.9
587737808497082617,08:16:14.35,+51:59:02.0
587738371134455951,08:16:33.88,+21:24:35.6
587731886272872705,08:16:39.92,+36:56:13.9
587731521201373457,08:16:46.85,+34:22:23.2
587728670417617169,08:16:57.36,+44:27:49.4
587725469592912117,08:17:09.74,+45:48:48.7
587725551197356189,08:17:27.00,+49:15:25.0
587738372745527646,08:17:31.98,+22:53:17.1
587731680651444527,08:18:02.45,+35:37:40.7
587728665579618450,08:18:32.67,+43:46:15.7
587731522275705012,08:18:44.51,+35:53:40.4
587738948271276178,08:18:49.63,+23:27:14.1
587732702850384235,08:18:49.75,+04:06:31.5
587729386597974230,08:18:54.66,+40:05:56.7
587739115237212560,08:18:58.05,+21:03:44.4
587739114163339575,08:19:37.75,+20:10:29.6
587728665042616383,08:19:40.24,+43:15:29.5
587725470130372844,08:19:46.94,+47:16:12.5
587738947734470895,08:19:55.19,+23:11:16.0
587735343180546165,08:19:56.25,+05:47:31.2
587745540506976647,08:20:06.44,+09:13:39.2
587725981225189474,08:20:29.87,+51:08:49.0
587741386738041144,08:20:31.00,+17:27:24.7
587731873925890468,08:20:55.62,+38:41:43.3
587731680651837681,08:20:57.87,+36:18:44.5
587731873925890295,08:21:01.35,+38:41:50.1
588023046935085076,08:21:18.33,+14:46:47.3
587739114700537890,08:21:21.14,+20:52:03.0
588297865248309498,08:21:34.10,+29:49:49.8
587745244691104060,08:21:53.73,+10:56:27.4
587731873389019165,08:21:55.47,+38:22:38.8
587725980688187550,08:21:59.17,+50:41:13.9
587742009507774807,08:22:07.06,+11:51:06.4
587725471204835542,08:22:07.65,+49:00:10.9
587731886273593533,08:22:18.77,+38:02:35.8
587735343717745011,08:22:28.47,+06:26:26.2
587741422172700936,08:22:35.44,+18:45:18.2
587732471459938488,08:22:38.10,+32:05:51.3
588016840171782485,08:22:38.33,+24:31:51.2
588016879363948551,08:22:52.56,+25:33:30.2
587739407832383763,08:22:56.12,+20:12:42.6
587728670418272398,08:22:56.68,+45:29:09.4
587739153893032230,08:23:12.35,+21:50:46.7
587741387812307055,08:23:30.05,+18:44:58.0
587732577758020011,08:23:35.55,+03:32:07.7
587739114700800246,08:23:42.46,+21:03:41.4
587741532229730676,08:23:42.64,+15:56:17.2
587739152819159176,08:23:47.86,+21:02:01.1
